Domain,Area,Element,Item,Year,Value
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Plywood","2016","10068"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Plywood","2016","61"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Particle board","2016","3946"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Particle board","2016","0"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","OSB","2016","868"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","OSB","2016","334"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Production","Hardboard","2016","7000"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Hardboard","2016","3709"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Hardboard","2016","2616"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","MDF/HDF","2016","11720"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","MDF/HDF","2016","62"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Production","Other fibreboard","2016","14000"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Other fibreboard","2016","29"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Other fibreboard","2016","13"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Mechanical wood pulp","2016","23"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Semi-chemical wood pulp","2016","0"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Chemical wood pulp","2016","15620"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Chemical wood pulp","2016","22"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Chemical wood pulp, sulphate, unbleached","2016","45"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Chemical wood pulp, sulphate, bleached","2016","15574"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Chemical wood pulp, sulphite, bleached","2016","1"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Dissolving wood pulp","2016","25"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Production","Pulp from fibres other than wood","2016","0"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Pulp from fibres other than wood","2016","6"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Pulp from fibres other than wood","2016","93"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Recovered paper","2016","10276"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Recovered paper","2016","2553"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Newsprint","2016","11397"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Newsprint","2016","115"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Printing and writing papers","2016","47465"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Printing and writing papers","2016","137"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Printing and writing papers, uncoated, mechanical","2016","372"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Printing and writing papers, uncoated, wood free","2016","41390"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Printing and writing papers, uncoated, wood free","2016","132"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Printing and writing papers, coated","2016","5703"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Printing and writing papers, coated","2016","5"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Production","Other paper and paperboard","2016","0"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Other paper and paperboard","2016","19718"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Other paper and paperboard","2016","80"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Household and sanitary papers","2016","1562"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Household and sanitary papers","2016","7"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Wrapping and packaging paper and paperboard","2016","15815"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Wrapping and packaging paper and paperboard","2016","19"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Case materials","2016","4283"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Case materials","2016","4"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Cartonboard","2016","7249"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Cartonboard","2016","15"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Wrapping papers","2016","4046"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Other papers mainly for packaging","2016","237"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Production","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","0"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Import Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","2341"
"Forestry Production and Trade","Bolivia (Plurinational State of)","Export Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","54"
"Forestry Production and Trade","Botswana","Production","Wood fuel, coniferous (production)","2016","0"
"Forestry Production and Trade","Botswana","Production","Wood fuel, non-coniferous (production)","2016","699218"
"Forestry Production and Trade","Botswana","Import Quantity","Wood fuel, all species (export/import)","2016","93"
"Forestry Production and Trade","Botswana","Import Quantity","Industrial roundwood, coniferous (export/import)","2016","1161"
"Forestry Production and Trade","Botswana","Import Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","681"
"Forestry Production and Trade","Botswana","Export Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","2"
"Forestry Production and Trade","Botswana","Import Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","14"
"Forestry Production and Trade","Botswana","Production","Other industrial roundwood, non-coniferous (production)","2016","105000"
"Forestry Production and Trade","Botswana","Production","Wood charcoal","2016","75110"
"Forestry Production and Trade","Botswana","Import Quantity","Wood charcoal","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Wood chips and particles","2016","4305"
"Forestry Production and Trade","Botswana","Export Quantity","Wood chips and particles","2016","11"
"Forestry Production and Trade","Botswana","Import Quantity","Wood residues","2016","842"
"Forestry Production and Trade","Botswana","Export Quantity","Wood residues","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Wood pellets","2016","5"
"Forestry Production and Trade","Botswana","Import Quantity","Sawnwood, coniferous","2016","40429"
"Forestry Production and Trade","Botswana","Export Quantity","Sawnwood, coniferous","2016","3"
"Forestry Production and Trade","Botswana","Import Quantity","Sawnwood, non-coniferous all","2016","3731"
"Forestry Production and Trade","Botswana","Export Quantity","Sawnwood, non-coniferous all","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Veneer sheets","2016","238"
"Forestry Production and Trade","Botswana","Export Quantity","Veneer sheets","2016","3"
"Forestry Production and Trade","Botswana","Import Quantity","Plywood","2016","1630"
"Forestry Production and Trade","Botswana","Export Quantity","Plywood","2016","1"
"Forestry Production and Trade","Botswana","Import Quantity","Particle board","2016","9049"
"Forestry Production and Trade","Botswana","Export Quantity","Particle board","2016","41"
"Forestry Production and Trade","Botswana","Import Quantity","OSB","2016","10"
"Forestry Production and Trade","Botswana","Import Quantity","MDF/HDF","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Semi-chemical wood pulp","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Chemical wood pulp","2016","1"
"Forestry Production and Trade","Botswana","Import Quantity","Chemical wood pulp, sulphate, unbleached","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Chemical wood pulp, sulphate, bleached","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Chemical wood pulp, sulphite, unbleached","2016","1"
"Forestry Production and Trade","Botswana","Import Quantity","Dissolving wood pulp","2016","1"
"Forestry Production and Trade","Botswana","Import Quantity","Pulp from fibres other than wood","2016","1"
"Forestry Production and Trade","Botswana","Export Quantity","Pulp from fibres other than wood","2016","0"
"Forestry Production and Trade","Botswana","Production","Recovered paper","2016","7000"
"Forestry Production and Trade","Botswana","Import Quantity","Recovered paper","2016","0"
"Forestry Production and Trade","Botswana","Export Quantity","Recovered paper","2016","10875"
"Forestry Production and Trade","Botswana","Import Quantity","Newsprint","2016","3707"
"Forestry Production and Trade","Botswana","Export Quantity","Newsprint","2016","4"
"Forestry Production and Trade","Botswana","Import Quantity","Printing and writing papers","2016","8245"
"Forestry Production and Trade","Botswana","Export Quantity","Printing and writing papers","2016","42"
"Forestry Production and Trade","Botswana","Import Quantity","Printing and writing papers, uncoated, mechanical","2016","4650"
"Forestry Production and Trade","Botswana","Export Quantity","Printing and writing papers, uncoated, mechanical","2016","3"
"Forestry Production and Trade","Botswana","Import Quantity","Printing and writing papers, uncoated, wood free","2016","1247"
"Forestry Production and Trade","Botswana","Export Quantity","Printing and writing papers, uncoated, wood free","2016","1"
"Forestry Production and Trade","Botswana","Import Quantity","Printing and writing papers, coated","2016","2348"
"Forestry Production and Trade","Botswana","Export Quantity","Printing and writing papers, coated","2016","38"
"Forestry Production and Trade","Botswana","Import Quantity","Other paper and paperboard","2016","10389"
"Forestry Production and Trade","Botswana","Export Quantity","Other paper and paperboard","2016","103"
"Forestry Production and Trade","Botswana","Import Quantity","Household and sanitary papers","2016","2993"
"Forestry Production and Trade","Botswana","Export Quantity","Household and sanitary papers","2016","1"
"Forestry Production and Trade","Botswana","Import Quantity","Wrapping and packaging paper and paperboard","2016","7193"
"Forestry Production and Trade","Botswana","Export Quantity","Wrapping and packaging paper and paperboard","2016","89"
"Forestry Production and Trade","Botswana","Import Quantity","Case materials","2016","4634"
"Forestry Production and Trade","Botswana","Export Quantity","Case materials","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Cartonboard","2016","689"
"Forestry Production and Trade","Botswana","Export Quantity","Cartonboard","2016","39"
"Forestry Production and Trade","Botswana","Import Quantity","Wrapping papers","2016","1870"
"Forestry Production and Trade","Botswana","Export Quantity","Wrapping papers","2016","50"
"Forestry Production and Trade","Botswana","Import Quantity","Other papers mainly for packaging","2016","0"
"Forestry Production and Trade","Botswana","Import Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","203"
"Forestry Production and Trade","Botswana","Export Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","13"
"Forestry Production and Trade","British Virgin Islands","Production","Wood fuel, coniferous (production)","2016","0"
"Forestry Production and Trade","British Virgin Islands","Production","Wood fuel, non-coniferous (production)","2016","1568"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Industrial roundwood, coniferous (export/import)","2016","7581"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","2048"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","985"
"Forestry Production and Trade","British Virgin Islands","Production","Wood charcoal","2016","75"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Wood charcoal","2016","40"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Wood charcoal","2016","148"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Wood chips and particles","2016","61"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Sawnwood, coniferous","2016","5309"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Sawnwood, coniferous","2016","87"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Sawnwood, non-coniferous all","2016","1075"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Sawnwood, non-coniferous all","2016","269"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Veneer sheets","2016","12"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Plywood","2016","1748"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Plywood","2016","23"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Particle board","2016","18"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","MDF/HDF","2016","15"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Chemical wood pulp","2016","0"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Chemical wood pulp, sulphate, bleached","2016","0"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Dissolving wood pulp","2016","0"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Printing and writing papers","2016","148"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Printing and writing papers","2016","43.23"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Printing and writing papers, uncoated, wood free","2016","8"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Printing and writing papers, uncoated, wood free","2016","43"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Printing and writing papers, coated","2016","140"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Printing and writing papers, coated","2016","0.23"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Other paper and paperboard","2016","188"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Other paper and paperboard","2016","24"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Household and sanitary papers","2016","50"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Wrapping and packaging paper and paperboard","2016","137"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Wrapping and packaging paper and paperboard","2016","24"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Case materials","2016","2"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Cartonboard","2016","63"
"Forestry Production and Trade","British Virgin Islands","Export Quantity","Cartonboard","2016","24"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Wrapping papers","2016","69"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Other papers mainly for packaging","2016","3"
"Forestry Production and Trade","British Virgin Islands","Import Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","1"
"Forestry Production and Trade","Bulgaria","Production","Wood fuel, coniferous (production)","2016","792901"
"Forestry Production and Trade","Bulgaria","Production","Wood fuel, non-coniferous (production)","2016","2135311"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wood fuel, all species (export/import)","2016","1837"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wood fuel, all species (export/import)","2016","171336"
"Forestry Production and Trade","Bulgaria","Import Quantity","Industrial roundwood, coniferous (export/import)","2016","3565"
"Forestry Production and Trade","Bulgaria","Export Quantity","Industrial roundwood, coniferous (export/import)","2016","127925"
"Forestry Production and Trade","Bulgaria","Import Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","177"
"Forestry Production and Trade","Bulgaria","Export Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","13"
"Forestry Production and Trade","Bulgaria","Import Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","6248"
"Forestry Production and Trade","Bulgaria","Export Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","41948"
"Forestry Production and Trade","Bulgaria","Production","Sawlogs and veneer logs, coniferous","2016","1153107"
"Forestry Production and Trade","Bulgaria","Production","Sawlogs and veneer logs, non-coniferous","2016","349012"
"Forestry Production and Trade","Bulgaria","Production","Pulpwood, round and split, coniferous (production)","2016","1235289"
"Forestry Production and Trade","Bulgaria","Production","Pulpwood, round and split, non-coniferous (production)","2016","683400"
"Forestry Production and Trade","Bulgaria","Production","Other industrial roundwood, coniferous (production)","2016","47858"
"Forestry Production and Trade","Bulgaria","Production","Other industrial roundwood, non-coniferous (production)","2016","12784"
"Forestry Production and Trade","Bulgaria","Production","Wood charcoal","2016","4626"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wood charcoal","2016","3484"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wood charcoal","2016","1757"
"Forestry Production and Trade","Bulgaria","Production","Wood chips and particles","2016","360000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wood chips and particles","2016","847"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wood chips and particles","2016","319350"
"Forestry Production and Trade","Bulgaria","Production","Wood residues","2016","78880"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wood residues","2016","384"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wood residues","2016","1936"
"Forestry Production and Trade","Bulgaria","Production","Wood pellets","2016","112000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wood pellets","2016","59286"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wood pellets","2016","127710"
"Forestry Production and Trade","Bulgaria","Production","Other agglomerates","2016","2000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Other agglomerates","2016","774"
"Forestry Production and Trade","Bulgaria","Export Quantity","Other agglomerates","2016","1035"
"Forestry Production and Trade","Bulgaria","Production","Sawnwood, coniferous","2016","775142"
"Forestry Production and Trade","Bulgaria","Import Quantity","Sawnwood, coniferous","2016","11053"
"Forestry Production and Trade","Bulgaria","Export Quantity","Sawnwood, coniferous","2016","253676"
"Forestry Production and Trade","Bulgaria","Production","Sawnwood, non-coniferous all","2016","163159"
"Forestry Production and Trade","Bulgaria","Import Quantity","Sawnwood, non-coniferous all","2016","18519"
"Forestry Production and Trade","Bulgaria","Export Quantity","Sawnwood, non-coniferous all","2016","47393"
"Forestry Production and Trade","Bulgaria","Production","Veneer sheets","2016","19000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Veneer sheets","2016","39427"
"Forestry Production and Trade","Bulgaria","Export Quantity","Veneer sheets","2016","10861"
"Forestry Production and Trade","Bulgaria","Production","Plywood","2016","67026"
"Forestry Production and Trade","Bulgaria","Import Quantity","Plywood","2016","59383"
"Forestry Production and Trade","Bulgaria","Export Quantity","Plywood","2016","54873"
"Forestry Production and Trade","Bulgaria","Production","Particle board","2016","634867"
"Forestry Production and Trade","Bulgaria","Import Quantity","Particle board","2016","97768"
"Forestry Production and Trade","Bulgaria","Export Quantity","Particle board","2016","238962"
"Forestry Production and Trade","Bulgaria","Production","OSB","2016","207134"
"Forestry Production and Trade","Bulgaria","Import Quantity","OSB","2016","21089"
"Forestry Production and Trade","Bulgaria","Export Quantity","OSB","2016","148814"
"Forestry Production and Trade","Bulgaria","Production","Hardboard","2016","57305"
"Forestry Production and Trade","Bulgaria","Import Quantity","Hardboard","2016","26936"
"Forestry Production and Trade","Bulgaria","Export Quantity","Hardboard","2016","42669"
"Forestry Production and Trade","Bulgaria","Production","MDF/HDF","2016","8023"
"Forestry Production and Trade","Bulgaria","Import Quantity","MDF/HDF","2016","60384"
"Forestry Production and Trade","Bulgaria","Export Quantity","MDF/HDF","2016","4085"
"Forestry Production and Trade","Bulgaria","Production","Other fibreboard","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Other fibreboard","2016","3420"
"Forestry Production and Trade","Bulgaria","Export Quantity","Other fibreboard","2016","69"
"Forestry Production and Trade","Bulgaria","Production","Mechanical wood pulp","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Mechanical wood pulp","2016","10"
"Forestry Production and Trade","Bulgaria","Export Quantity","Mechanical wood pulp","2016","0"
"Forestry Production and Trade","Bulgaria","Production","Semi-chemical wood pulp","2016","6000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Semi-chemical wood pulp","2016","21"
"Forestry Production and Trade","Bulgaria","Export Quantity","Semi-chemical wood pulp","2016","0"
"Forestry Production and Trade","Bulgaria","Production","Chemical wood pulp","2016","128900"
"Forestry Production and Trade","Bulgaria","Import Quantity","Chemical wood pulp","2016","28832"
"Forestry Production and Trade","Bulgaria","Export Quantity","Chemical wood pulp","2016","102133"
"Forestry Production and Trade","Bulgaria","Production","Chemical wood pulp, sulphate, unbleached","2016","17900"
"Forestry Production and Trade","Bulgaria","Import Quantity","Chemical wood pulp, sulphate, unbleached","2016","21"
"Forestry Production and Trade","Bulgaria","Export Quantity","Chemical wood pulp, sulphate, unbleached","2016","3118"
"Forestry Production and Trade","Bulgaria","Production","Chemical wood pulp, sulphate, bleached","2016","111000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Chemical wood pulp, sulphate, bleached","2016","28516"
"Forestry Production and Trade","Bulgaria","Export Quantity","Chemical wood pulp, sulphate, bleached","2016","99014"
"Forestry Production and Trade","Bulgaria","Production","Chemical wood pulp, sulphite, unbleached","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Chemical wood pulp, sulphite, unbleached","2016","0"
"Forestry Production and Trade","Bulgaria","Export Quantity","Chemical wood pulp, sulphite, unbleached","2016","0"
"Forestry Production and Trade","Bulgaria","Production","Chemical wood pulp, sulphite, bleached","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Chemical wood pulp, sulphite, bleached","2016","295"
"Forestry Production and Trade","Bulgaria","Export Quantity","Chemical wood pulp, sulphite, bleached","2016","1"
"Forestry Production and Trade","Bulgaria","Production","Dissolving wood pulp","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Dissolving wood pulp","2016","1375"
"Forestry Production and Trade","Bulgaria","Export Quantity","Dissolving wood pulp","2016","0"
"Forestry Production and Trade","Bulgaria","Production","Pulp from fibres other than wood","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Pulp from fibres other than wood","2016","752"
"Forestry Production and Trade","Bulgaria","Export Quantity","Pulp from fibres other than wood","2016","2"
"Forestry Production and Trade","Bulgaria","Production","Recovered paper","2016","80000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Recovered paper","2016","22191"
"Forestry Production and Trade","Bulgaria","Export Quantity","Recovered paper","2016","97074"
"Forestry Production and Trade","Bulgaria","Production","Newsprint","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Newsprint","2016","41009"
"Forestry Production and Trade","Bulgaria","Export Quantity","Newsprint","2016","8479"
"Forestry Production and Trade","Bulgaria","Production","Printing and writing papers","2016","5281"
"Forestry Production and Trade","Bulgaria","Import Quantity","Printing and writing papers","2016","83627"
"Forestry Production and Trade","Bulgaria","Export Quantity","Printing and writing papers","2016","7976"
"Forestry Production and Trade","Bulgaria","Production","Printing and writing papers, uncoated, mechanical","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Printing and writing papers, uncoated, mechanical","2016","9637"
"Forestry Production and Trade","Bulgaria","Export Quantity","Printing and writing papers, uncoated, mechanical","2016","510"
"Forestry Production and Trade","Bulgaria","Production","Printing and writing papers, uncoated, wood free","2016","5281"
"Forestry Production and Trade","Bulgaria","Import Quantity","Printing and writing papers, uncoated, wood free","2016","39180"
"Forestry Production and Trade","Bulgaria","Export Quantity","Printing and writing papers, uncoated, wood free","2016","4456"
"Forestry Production and Trade","Bulgaria","Production","Printing and writing papers, coated","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Printing and writing papers, coated","2016","34810"
"Forestry Production and Trade","Bulgaria","Export Quantity","Printing and writing papers, coated","2016","3010"
"Forestry Production and Trade","Bulgaria","Production","Other paper and paperboard","2016","346007"
"Forestry Production and Trade","Bulgaria","Import Quantity","Other paper and paperboard","2016","217048"
"Forestry Production and Trade","Bulgaria","Export Quantity","Other paper and paperboard","2016","151209"
"Forestry Production and Trade","Bulgaria","Production","Household and sanitary papers","2016","51810"
"Forestry Production and Trade","Bulgaria","Import Quantity","Household and sanitary papers","2016","21597"
"Forestry Production and Trade","Bulgaria","Export Quantity","Household and sanitary papers","2016","30951"
"Forestry Production and Trade","Bulgaria","Production","Wrapping and packaging paper and paperboard","2016","294197"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wrapping and packaging paper and paperboard","2016","187310"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wrapping and packaging paper and paperboard","2016","117102"
"Forestry Production and Trade","Bulgaria","Production","Case materials","2016","96000"
"Forestry Production and Trade","Bulgaria","Import Quantity","Case materials","2016","92686"
"Forestry Production and Trade","Bulgaria","Export Quantity","Case materials","2016","15431"
"Forestry Production and Trade","Bulgaria","Production","Cartonboard","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Cartonboard","2016","71586"
"Forestry Production and Trade","Bulgaria","Export Quantity","Cartonboard","2016","3232"
"Forestry Production and Trade","Bulgaria","Production","Wrapping papers","2016","198197"
"Forestry Production and Trade","Bulgaria","Import Quantity","Wrapping papers","2016","18880"
"Forestry Production and Trade","Bulgaria","Export Quantity","Wrapping papers","2016","98202"
"Forestry Production and Trade","Bulgaria","Production","Other papers mainly for packaging","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Other papers mainly for packaging","2016","4158"
"Forestry Production and Trade","Bulgaria","Export Quantity","Other papers mainly for packaging","2016","237"
"Forestry Production and Trade","Bulgaria","Production","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","0"
"Forestry Production and Trade","Bulgaria","Import Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","8141"
"Forestry Production and Trade","Bulgaria","Export Quantity","Other paper and paperboard n.e.s. (not elsewhere specified)","2016","3156"
"Forestry Production and Trade","Burkina Faso","Production","Wood fuel, coniferous (production)","2016","0"
"Forestry Production and Trade","Burkina Faso","Production","Wood fuel, non-coniferous (production)","2016","13870233"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Wood fuel, all species (export/import)","2016","1855"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Wood fuel, all species (export/import)","2016","14"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Industrial roundwood, coniferous (export/import)","2016","555"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Industrial roundwood, coniferous (export/import)","2016","242"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","90"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Industrial roundwood, non-coniferous tropical (export/import)","2016","225"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","15"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Industrial roundwood, non-coniferous non-tropical (export/import)","2016","2"
"Forestry Production and Trade","Burkina Faso","Production","Sawlogs and veneer logs, non-coniferous","2016","73000"
"Forestry Production and Trade","Burkina Faso","Production","Other industrial roundwood, non-coniferous (production)","2016","1098000"
"Forestry Production and Trade","Burkina Faso","Production","Wood charcoal","2016","689661"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Wood charcoal","2016","8"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Wood charcoal","2016","12000"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Wood chips and particles","2016","48"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Wood residues","2016","2"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Wood residues","2016","10"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Sawnwood, coniferous","2016","21"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Sawnwood, coniferous","2016","12"
"Forestry Production and Trade","Burkina Faso","Production","Sawnwood, non-coniferous all","2016","5200"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Sawnwood, non-coniferous all","2016","1158"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Sawnwood, non-coniferous all","2016","23"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Veneer sheets","2016","1071"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Veneer sheets","2016","64"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Plywood","2016","722"
"Forestry Production and Trade","Burkina Faso","Export Quantity","Plywood","2016","43"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Particle board","2016","25"
"Forestry Production and Trade","Burkina Faso","Import Quantity","OSB","2016","1"
"Forestry Production and Trade","Burkina Faso","Import Quantity","Hardboard","2016","19"
